WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Longyearbyen,SJ,78.2186,15.6401,42.64,75,40,2.3,Clouds
95,Asau,RO,46.4333,26.4,67.28,69,14,3.56,Clouds
96,Ushuaia,AR,-54.8,-68.3,46.06,71,100,12.66,Clouds
97,Leningradskiy,RU,69.3833,178.4167,41.56,77,17,11.56,Clouds
98,Tolaga Bay,NZ,-38.3667,178.3,55.65,80,13,4.7,Clouds
99,Dunedin,NZ,-45.8742,170.5036,46.8,72,99,5.99,Clouds
100,Barrow,US,71.2906,-156.7887,34.9,67,100,14.92,Clouds
101,Tiksi,RU,71.6872,128.8694,40.75,93,100,14.9,Clouds
102,Dikson,RU,73.5069,80.5464,43.09,95,100,12.24,Clouds
103,Qaanaaq,GL,77.484,-69.3632,37.42,62,78,4.92,Clouds
104,Waipawa,NZ,-41.4122,175.5153,49.3,85,100,6.08,Rain
105,Hobart,AU,-42.8794,147.3294,54.27,74,100,18.41,Rain
106,Port Elizabeth,ZA,-33.918,25.5701,52.32,91,0,3.0,Clear
107,Chokurdakh,RU,70.6333,147.9167,56.95,83,100,3.74,Clouds
108,Kahului,US,20.8947,-156.47,87.82,55,20,20.71,Clouds
109,Saskylakh,RU,71.9167,114.0833,34.3,94,99,5.5,Clouds
110,East London,ZA,-33.0153,27.9116,58.12,60,0,6.91,Clear
111,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,8.05,Clouds
112,Eganville,CA,45.5334,-77.0994,73.51,97,100,2.89,Clouds
113,Hermanus,ZA,-34.4187,19.2345,54.81,86,0,10.29,Clear
114,Georgetown,MY,5.4112,100.3354,78.89,85,20,2.3,Clouds
115,Rikitea,PF,-23.1203,-134.9692,71.06,72,100,16.02,Clouds
116,Kargasok,RU,59.0556,80.8572,42.98,85,58,7.72,Clouds
117,Albany,US,42.6001,-73.9662,86.63,47,100,3.0,Clouds
118,Egvekinot,RU,66.3167,-179.1667,48.31,62,0,3.44,Clear
119,Mataura,NZ,-46.1927,168.8643,48.47,95,100,1.43,Clouds
120,Butaritari,KI,3.0707,172.7902,81.46,76,10,13.4,Clear
121,Aden,YE,12.7794,45.0367,87.67,67,69,22.73,Clouds
122,Grindavik,IS,63.8424,-22.4338,52.27,66,0,12.66,Clear
123,Thompson,CA,55.7435,-97.8558,74.28,37,100,10.69,Clouds
124,Upernavik,GL,72.7868,-56.1549,40.78,82,37,9.73,Clouds
125,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,72,40,8.05,Clouds
126,Bredasdorp,ZA,-34.5322,20.0403,48.43,93,0,6.06,Clear
127,Jamestown,US,42.097,-79.2353,74.84,58,100,8.05,Clouds
128,Pombas,CV,17.1503,-25.0201,80.38,87,100,5.84,Clouds
129,Khatanga,RU,71.9667,102.5,46.06,67,100,7.18,Clouds
130,Shubarkuduk,KZ,49.1447,56.4872,68.58,32,24,10.29,Clouds
131,Kodiak,US,57.79,-152.4072,53.11,100,100,14.97,Mist
132,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,100,13.8,Clouds
133,Yellowknife,CA,62.456,-114.3525,63.12,59,75,9.22,Clouds
134,Busselton,AU,-33.65,115.3333,49.12,73,46,10.29,Clouds
135,Harer,ET,9.3094,42.1258,64.11,64,68,4.7,Clouds
136,Klaksvik,FO,62.2266,-6.589,47.32,84,100,21.85,Clouds
137,Lompoc,US,34.6391,-120.4579,83.7,79,100,11.5,Clouds
138,Naryan-Mar,RU,67.6713,53.087,59.07,74,9,9.57,Clear
139,New Norfolk,AU,-42.7826,147.0587,52.92,76,100,1.01,Rain
140,Liwale,TZ,-9.7667,37.9333,65.64,82,38,3.71,Clouds
141,Ayan,RU,56.45,138.1667,55.02,86,100,9.42,Rain
142,Hilo,US,19.7297,-155.09,84.25,64,75,9.22,Clouds
